Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
-11.94,-2.0065,-1.0458,1.9704,1.0152,1.9704,5.1389,-2.0065,-13.132,-0.13267,-8.6928,-10.602,-2.0813,-18.653999,-5.9701,-20.225,-1.072,-14.0,-9.967,2.0305,1.9704
-11.94,-2.0065,-3.0065,0.0,0.0,0.0,2.0139,-2.0065,-1.072,-5.1078,-13.595,-7.6748,-4.0325,-15.698,-4.9751,-16.361,-5.0921,-10.0,-10.957,2.0305,0.0
-10.945,-1.0356,-4.9673,-2.9557,-4.0609,-2.9557,-4.2361,-1.0356,-0.067,-8.0929,-10.654,-6.6992,-7.935,-12.742,-7.9602,-13.462,-9.1122,-8.0,-11.947,-2.0305,-3.9409
-12.935,-3.9482,-10.85,-4.9261,-8.1218,-4.9261,-10.486,-3.9482,-17.152,-11.078,-15.556,-12.553,-8.9106,-16.683001,-12.935,-14.428,-12.127,-12.0,-15.908,-4.0609,-6.8966
-16.915001,-3.9482,-12.81,-4.9261,-7.1066,-4.9261,-9.4444,-3.9482,-27.202999,-13.068,-20.458,-18.407,-8.9106,-18.653999,-13.93,-17.327,-14.137,-16.0,-19.868,-4.0609,-6.8966
-17.91,-1.0356,-8.8889,-2.9557,-6.0914,-2.9557,-6.3194,-1.0356,-15.142,-12.073,-19.476999,-16.455,-10.862,-17.667999,-9.9502,-17.327,-14.137,-16.0,-19.868,-4.0609,-6.8966
-19.9,-2.9773,-8.8889,-2.9557,-9.1371,-2.9557,-8.4028,-2.9773,-7.1022,-13.068,-18.497,-15.48,-11.837,-19.639,-11.94,-16.361,-16.146999,-15.0,-21.848,-6.0914,-9.8522
-19.9,-2.9773,-11.83,-4.9261,-11.168,-4.9261,-11.528,-2.9773,-11.122,-14.063,-13.595,-11.577,-5.9837,-17.667999,-12.935,-12.496,-17.152,-11.0,-20.858,-6.0914,-11.823
-21.891001,-2.9773,-13.791,-5.9113,-12.183,-5.9113,-12.569,-2.9773,-19.162001,-17.048,-13.595,-11.577,-6.9593,-17.667999,-16.915001,-12.496,-21.173,-12.0,-24.818001,-5.0761,-13.793
-23.881001,-2.0065,-13.791,-4.9261,-11.168,-4.9261,-10.486,-2.0065,-15.142,-19.038,-15.556,-12.553,-13.789,-18.653999,-18.905001,-14.428,-24.188,-14.0,-25.809,-4.0609,-12.808
