Pz,Fp2,F7,Fp1,F4,F1,F3,F2,T3,Cz,T6,T5,T4,O2,C3,O1,C4,P3,P4,F8,Fz
32.835999,15.469,6.7974,13.793,15.228,13.793,13.472,15.469,-1.072,18.773001,18.757999,9.8862,8.6504,37.504002,10.945,26.150999,18.023001,23.0,32.606998,14.213,15.764
36.816002,19.353001,8.7582,18.719,18.274,18.719,15.556,19.353001,4.9581,23.747999,30.523001,16.715,16.455,45.386002,13.93,37.745998,22.044001,29.0,37.557999,16.243999,19.704
25.871,19.353001,12.68,20.690001,17.259001,20.690001,12.431,19.353001,11.993,17.778,28.562,17.691,14.504,36.519001,10.945,31.948,18.023001,22.0,28.646999,14.213,17.733999
3.9801,13.528,10.719,17.733999,8.1218,17.733999,5.1389,13.528,3.9531,6.8325,10.915,11.837,5.7236,13.859,0.0,13.591,5.9631,5.0,6.8647,7.1066,8.867
-9.9502,13.528,9.7386,17.733999,7.1066,17.733999,5.1389,13.528,-2.0771,1.8574,3.0719,8.9106,1.8211,-2.89,-0.99502,1.0306,-0.067,-3.0,-7.9868,6.0914,7.8818
-14.925,15.469,11.699,17.733999,11.168,17.733999,9.3056,15.469,9.9832,4.8425,5.0327,5.9837,5.7236,-11.757,2.9851,-2.8341,1.943,-4.0,-12.937,10.152,12.808
-20.896,18.382,12.68,18.719,12.183,18.719,11.389,18.382,14.003,3.8474,-7.7124,-0.84553,4.748,-27.521,1.99,-15.395,-0.067,-13.0,-20.858,12.183,11.823
-25.871,17.410999,15.621,18.719,9.1371,18.719,11.389,17.410999,15.008,0.86235,-23.399,-9.626,1.8211,-44.269001,0.0,-29.886999,-3.0821,-19.0,-28.778999,10.152,7.8818
-21.891001,17.410999,16.601,19.704,11.168,19.704,13.472,17.410999,14.003,4.8425,-29.281,-13.528,0.84553,-47.224998,3.9801,-32.785999,2.9481,-17.0,-29.768999,10.152,9.8522
-14.925,19.353001,12.68,20.690001,16.243999,20.690001,13.472,19.353001,-7.1022,6.8325,-30.261,-18.407,2.7967,-38.358002,4.9751,-26.989,5.9631,-14.0,-23.827999,13.198,12.808
-3.9801,22.264999,11.699,21.674999,20.305,21.674999,15.556,22.264999,-18.157,10.813,-16.535999,-14.504,9.626,-16.683001,9.9502,-13.462,10.988,-5.0,-7.9868,17.259001,15.764
6.9652,24.207001,20.523001,25.615999,21.32,25.615999,20.764,24.207001,-1.072,13.798,0.13072,1.1057,10.602,6.9622,14.925,2.963,14.003,6.0,8.8449,20.305,17.733999
6.9652,22.264999,22.483999,23.645,16.243999,23.645,16.597,22.264999,7.9732,6.8325,9.9346,7.935,10.602,16.813999,7.9602,6.8277,10.988,6.0,14.785,18.274,11.823
8.9552,22.264999,16.601,21.674999,15.228,21.674999,15.556,22.264999,31.089001,6.8325,18.757999,10.862,18.407,21.740999,6.9652,10.692,12.998,9.0,19.736,18.274,10.837
5.9701,24.207001,10.719,22.66,15.228,22.66,16.597,24.207001,18.023001,1.8574,16.797001,6.9593,20.358,16.813999,1.99,8.7601,8.9782,7.0,15.776,20.305,11.823
